ts,size,n,m,p,totaltime
1717080367109,4,100,100,100,581
1717080369249,4,100,100,100,606
1717080371409,4,100,100,100,896
1717080373913,4,100,100,100,643
1717080376125,4,100,100,100,711
1717080378409,4,100,100,100,649
1717080380625,4,100,100,100,665
1717080382921,4,100,100,100,574
1717080385049,4,100,100,100,616
1717080387293,4,100,100,100,607
1717080389505,4,100,100,100,631
1717080391701,4,100,100,100,682
1717080393953,4,100,100,100,597
1717080396117,4,100,100,100,627
1717080398369,4,100,100,100,608
1717080400545,4,100,100,100,635
1717080402797,4,100,100,100,644
1717080405001,4,100,100,100,740
1717080407321,4,100,100,100,743
1717080409621,4,100,100,100,739
1717080411921,4,100,100,100,675
1717080414137,4,100,100,100,638
1717080416313,4,100,100,100,608
1717080418669,4,100,100,100,622
1717080420853,4,100,100,100,691
1717080423185,4,100,100,100,643
1717080425509,4,100,100,100,597
1717080427621,4,100,100,100,730
1717080429889,4,100,100,100,732
1717080432189,4,100,100,100,1033
1717080434809,4,100,100,100,668
1717080437073,4,100,100,100,661
1717080439341,4,100,100,100,547
1717080441461,4,100,100,100,649
1717080443761,4,100,100,100,640
1717080445965,4,100,100,100,603
1717080448141,4,100,100,100,1457
1717080451157,4,100,100,100,652
1717080453385,4,100,100,100,635
1717080455653,4,100,100,100,694
1717080457941,4,100,100,100,752
1717080460265,4,100,100,100,561
1717080462405,4,100,100,100,696
